line,Question_ID,Question,max_score,mean_score,min_score,count_scores,num_below_0_5,passages,sources
2,AA169,"As a caregiver, I've been noticing some aggressive behavior in my loved one with dementia. Could you let me know about common factors that might trigger such behaviour?",0.8258289694786072,0.8258289694786072,0.8258289694786072,1,0,"[""behaviors, and these discrepancies were especially prevalent in patients with mild dementia\n[21]. Furthermore, caregiver communication styles, expectations, over- and underestimation\nof patient abilities, and cultural beliefs may all influence the very behaviors being observed\n[13].\nTo minimize ambiguity, agitation, irritability, and other challenging behaviors should be\ndescribed in clear language that can be understood by all members of the care team. In fact,\nit is often helpful to avoid using ambiguous terms such as “agitation” and “irritability,” and\ninstead describe the particular actions, responses, or emotional expressions observed in the\npatient. It is also important to identify the time course of the symptoms in question,\nincluding the context in which they first emerged, how fre""]","[""/Users/gengminjie/Desktop/code/RAG/deployment_package/rag_versions/rag_system/code/downloaded_files/Psychological Symptoms/Irritability/nihms-1020336.pdf""]"
3,AA092,What could be the possible negative impacts of consuming alcohol for a family member who has Mild Cognitive Impairment?,0.0457337386906147,0.0457337386906147,0.0457337386906147,1,1,"[""What's the risk?\nWhat can you do to reduce the risk?\nExcessive alcohol consumption\nDrinking excessively (more than 12\nstandard drinks per week), can increase\nyour risk of developing dementia.\nA “standard drink” means:\n• 341 ml/ 12oz (one bottle) of beer (5% alcohol)\n• 142ml/5 oz wine (12% alcohol)\n• 43 ml/11/2 oz spirit (40% alcohol)\nDrinking may interact with medications that you are taking or\nwith other health-related issues. Talk with your doctor about any\nconcerns you may have.\nLow levels of cognitive engagement\nCognitive engagement is thought\nto support the development of a\n“cognitive reserve”. This is the idea that people\nwho actively use their brains throughout their\nlives may be more protected against brain cell\ndamage caused by dementia.\nBe a lifelong learner! Challenge your brain""]","[""/Users/gengminjie/Desktop/code/RAG/deployment_package/rag_versions/rag_system/code/downloaded_files/Disease/Risk Factors/Risk-factors_Alzheimer-Society-Canada-2023.pdf""]"
4,AA154,What are the typical symptoms of anxiety I should look out for in my family member who has dementia?,0.8469723463058472,0.8469723463058472,0.8469723463058472,1,0,"[""in dementia. Currently, the diagnostic criteria for GAD is the\nsame for patients with and without dementia.10 Revised crite\nria for anxiety diagnosis in patients with dementia recommend\ned excessive anxiety or worry that is difficult to control as the\nkey components with at least three of the following symptoms:\nrestlessness, irritability, muscle tension, excessive fears, and\nrespiratory distress.15 However, recent study suggested only\nthe muscle tension and fatigue are specific for the GAD in pa\ntients with dementia.20\nFourth, memory- and language problems in patients with\ndementia compromise expression of their feelings, and there\nfore, the assessment process may be difficult. In this situation,\nTable 1. The main symptom differences between anxiety and depression in patients with dementi""]","[""/Users/gengminjie/Desktop/code/RAG/deployment_package/rag_versions/rag_system/code/downloaded_files/Psychological Symptoms/Anxiety/What to do/dnd-16-33.pdf""]"
5,AA164,What are the usual indications of apathy in a family member who has dementia?,0.43533894419670105,0.43533894419670105,0.43533894419670105,1,1,"[""It is important to diagnose depression in people with dementia\nbecause depression may respond to treatment.\nThe symptoms of depression can be similar to symptoms of\ndementia. Therefore, it is often difficult to identify depression\nin people with dementia. There are some common signs of\ndepression to be aware of:\n● Loss of interest in previously enjoyed activities\n● Lack of energy\n● Problems sleeping\n● Increased confusion\n● Loss of appetite and weight\nIf you are concerned about depression, speak to the person's\ndoctor.\nWhat is apathy?\nApathy is a word that describes loss of interest, motivation\nand/or persistence. It means not caring and not being social\nwith others. The person with dementia may develop this\napathy (become apathetic) and feel unmotivated to do\nanything. Apathy can be a symp""]","[""/Users/gengminjie/Desktop/code/RAG/deployment_package/rag_versions/rag_system/code/downloaded_files/Psychological Symptoms/Apathy/What to do/Overview.pdf""]"
6,AA216,What strategies can I use to improve the appetite of a family member with dementia?,0.19581058621406555,0.19581058621406555,0.19581058621406555,1,1,"[""● Make the person feel valued and productive.\n● Be ready to help the person start an activity.\n● Make the person with dementia feel included in groups.\n● Have the person participate in activities that do not\nrequire active participation, such as listening to music.\n● Some people with dementia may respond to a type of\nmedication called a cholinesterase inhibitor. You may\nwant to discuss this with a doctor.\n●""]","[""/Users/gengminjie/Desktop/code/RAG/deployment_package/rag_versions/rag_system/code/downloaded_files/Psychological Symptoms/Apathy/What to do/Overview.pdf""]"
7,AA462,"As a caregiver of a family member with dementia, what's the common health risks that caregivers like myself may face?",0.9432919025421143,0.9432919025421143,0.9432919025421143,1,0,"[""Support for caregivers and care partners\nProviding care for someone with dementia is physically and emotionally demanding. You might\nfeel angry, guilty, frustrated or worried. Grief and social isolation are common. If you're a\ncaregiver or care partner for someone with dementia:\n● Learn about the disease and participate in caregiver education programs.\n● Find out about supportive services in your community, such as respite care\nor adult care. These services can give you a break from caregiving at\nscheduled times during the week.\n● Ask friends or other family members for help.\n● Take care of your physical, emotional and spiritual health.\n● Ask questions of health care professionals, social workers and others\ninvolved in the care of your loved one.\n● Join a support group.\nPreparing for your ""]","[""/Users/gengminjie/Desktop/code/RAG/deployment_package/rag_versions/rag_system/code/downloaded_files/Disease/Dementia (mild-moderate-severe)/How is it diagnosed_ Cognitive testing, blood testing, what they should look for_/Mayo_clinic3.pdf""]"
8,AA119,What are some cognitive activities that could potentially benefit my family member who has MCI?,0.2641615569591522,0.2641615569591522,0.2641615569591522,1,1,"[""What is mild cognitive impairment (MCI)?\nMild cognitive impairment is when a person starts to have problems with\ntheir memory or thinking. These may cause difficulties, but not so much\nthat they interfere with doing everyday tasks.\n\nFor some people MCI is an early sign of a disease that will eventually\ncause dementia. However, MCI is not dementia. It can be caused by\nother health problems, such as sleep disorders or the side effects of\nmedicines.\nSome mental abilities, such as memory and concentration, can become\nless reliable as a person gets older. This often becomes more noticeable\naround age 60 and older. It can be frustrating, but it rarely stops a person\nfrom doing normal everyday activities. \n\nHowever, some people feel these changes more quickly, and may\nbecome worried that somethin""]","[""/Users/gengminjie/Desktop/code/RAG/deployment_package/rag_versions/rag_system/code/downloaded_files/Disease/MCI/What is it_ Symptoms_ Causes and risks_/Alzheimers.org (1).pdf""]"
9,AA243,"As the caregiver of a family member in the late stage of dementia, could you please suggest some effective communication strategies that I can use to communicate with them better?",0.5069275498390198,0.5069275498390198,0.5069275498390198,1,0,"[""Read and share this infographic about how to communicate\nwith a person who has Alzheimer's disease.\n●Tell people who visit how much your loved one can\nunderstand. For example, if the person is still in the\nearly stage of Alzheimer's, you might say that they can\nstill have a conversation over dinner or play a favorite\nboard game.\n●If your loved one has difficulty remembering people,\nsuggest that visitors start a conversation with the\nperson by briefly introducing themselves. For example,\n“Hello George, I'm John. We used to work together.”\n●Offer ways to make the conversation easier and more\nrespectful, such as not correcting or arguing with the\nperson with Alzheimer's if they make a mistake or\nforget something.""]","[""/Users/gengminjie/Desktop/code/RAG/deployment_package/rag_versions/rag_system/code/downloaded_files/Disease/Diagnosis Sharing/How to share the disease with patients, friends and family_/NIA.NIH.gov.pdf""]"
10,AA352,What are the appropriate hygiene practices I should utilize for a family member with dementia who is facing incontinence issues?,0.023097999393939972,0.023097999393939972,0.023097999393939972,1,1,"[""who has apathy\nTry to find tasks and activities they will\nenjoy and find meaningful\nHave a basic daily routine to provide\na reassuring structure to each day.\nHave a weekly routine with a few\nactivities that suit the person's\npreferences and personality. This\ncould be a group session or simply\nvisiting the park and seeing\ngrandchildren.\nIdentify activities that the person has\na realistic chance of actively\ncontributing to and feeling in control.\nThis will help to rebuild their\nconfidence.\nCreate a safe space where they are\nfree to get things wrong\nLocal dementia support groups\nprovide a place where dementia\nsymptoms are accepted and\nunderstood, and where no one\nshould have to worry about\nembarrassing themselves or others.\nTry to apply these principles to home\nlife by not getting angry or up""]","[""/Users/gengminjie/Desktop/code/RAG/deployment_package/rag_versions/rag_system/code/downloaded_files/Psychological Symptoms/Apathy/What to do/Apathy and dementia _ Alzheimer_s Society.pdf""]"
11,AA397,Could you suggest some strategies that would assist in maintaining regularity in daily routines for a person with dementia whom I am caring for?,0.6065598726272583,0.6065598726272583,0.6065598726272583,1,0,"[""who has apathy\nTry to find tasks and activities they will\nenjoy and find meaningful\nHave a basic daily routine to provide\na reassuring structure to each day.\nHave a weekly routine with a few\nactivities that suit the person's\npreferences and personality. This\ncould be a group session or simply\nvisiting the park and seeing\ngrandchildren.\nIdentify activities that the person has\na realistic chance of actively\ncontributing to and feeling in control.\nThis will help to rebuild their\nconfidence.\nCreate a safe space where they are\nfree to get things wrong\nLocal dementia support groups\nprovide a place where dementia\nsymptoms are accepted and\nunderstood, and where no one\nshould have to worry about\nembarrassing themselves or others.\nTry to apply these principles to home\nlife by not getting angry or up""]","[""/Users/gengminjie/Desktop/code/RAG/deployment_package/rag_versions/rag_system/code/downloaded_files/Psychological Symptoms/Apathy/What to do/Apathy and dementia _ Alzheimer_s Society.pdf""]"
